id_map;start;target;path_cost;bench_time;run_time;expanded;generated;heapops
London_0_512;(201, 352);(285, 507);176.2980430974774;75504;75504.3;37;48;84
London_0_512;(292, 453);(229, 404);79.81227975693966;51275;51275.5;14;18;31
London_0_512;(191, 423);(3, 296);226.87661845152752;75034;75034.1;15;26;40
London_0_512;(21, 2);(15, 361);372.62660163620285;286204;286204.3;129;144;271
London_0_512;(83, 334);(452, 346);391.1525099609942;236639;236639.2;96;117;212
London_0_512;(425, 492);(294, 488);131.06105447462264;5577;5577.3;3;6;8
London_0_512;(227, 402);(191, 478);84.09518416651456;34690;34690.9;5;9;13
London_0_512;(437, 501);(281, 354);214.34784813475503;44908;44908.4;33;40;72
London_0_512;(209, 419);(155, 178);339.07944773527765;1007089;1007089.6;209;269;467
London_0_512;(0, 332);(335, 282);340.26697235680786;45866;45866.5;17;23;39
London_0_512;(195, 407);(251, 498);106.85036265731624;80333;80333.5;22;28;49
London_0_512;(325, 210);(378, 422);218.52459815773602;163592;163592.7;7;12;18
London_0_512;(301, 484);(238, 382);119.8874472161285;139259;139259.2;27;35;61
London_0_512;(50, 340);(84, 224);324.77256757860863;801432;801432.4;549;591;1134
London_0_512;(233, 318);(226, 15);552.5534033553643;3032462;3032462.4;3602;3906;7303
London_0_512;(380, 197);(54, 395);401.05467208966434;183443;183443.5;52;73;124
London_0_512;(13, 66);(189, 49);315.7035684825968;604727;604727.9;830;870;1695
London_0_512;(32, 109);(128, 205);147.13233567054255;179463;179463.4;120;133;252
London_0_512;(18, 268);(402, 238);411.77358988548997;666060;666060.3;251;297;540
London_0_512;(405, 203);(458, 328);151.794067415438;133199;133199.6;96;111;206
London_0_512;(30, 372);(189, 478);196.49626877290194;99036;99036.1;32;41;72
London_0_512;(366, 274);(101, 360);279.33803697492857;103448;103448.8;6;14;19
London_0_512;(154, 171);(207, 403);326.7651902414415;926781;926781.3;308;345;648
London_0_512;(389, 234);(66, 412);423.89157309747634;326136;326136.4;122;154;274
London_0_512;(89, 288);(40, 316);56.44944760213886;73064;73064.2;12;17;28
London_0_512;(313, 428);(178, 379);143.6175476743702;79696;79696.3;14;21;34
London_0_512;(158, 27);(442, 57);364.9031474458321;225863;225863.1;286;308;593
London_0_512;(381, 471);(444, 315);224.51829750426762;330007;330007.7;77;97;173
London_0_512;(321, 347);(220, 345);101.01980003939822;34288;34288.3;3;8;10
London_0_512;(480, 240);(498, 459);387.8548112186382;1363754;1363754.0;575;663;1195
London_0_512;(220, 159);(246, 51);473.9683534232866;3951562;3951562.3;2741;2932;5564
London_0_512;(262, 418);(148, 278);250.37787728339458;168323;168323.1;48;65;112
London_0_512;(140, 427);(447, 91);459.44545909641363;177142;177142.0;81;114;194
London_0_512;(506, 448);(471, 465);39.21313677769662;61766;61766.6;12;20;31
London_0_512;(52, 277);(348, 327);320.478762022114;164795;164795.2;47;61;107
London_0_512;(179, 353);(65, 124);333.5568800695272;585501;585501.7;164;210;370
London_0_512;(116, 50);(402, 336);404.8900515732451;504106;504106.8;106;121;226
London_0_512;(76, 145);(284, 342);309.4234808262804;401227;401227.6;126;148;273
London_0_512;(180, 501);(206, 386);117.90250209389112;97831;97831.4;29;35;63
London_0_512;(129, 476);(309, 302);250.3517525403008;112153;112153.0;29;39;67
London_0_512;(72, 380);(329, 82);524.862934396223;2970310;2970310.1;1758;1932;3608
London_0_512;(66, 164);(189, 344);351.93421419624184;1216277;1216277.4;555;594;1143
London_0_512;(169, 321);(433, 378);273.80664640234016;74425;74425.6;23;34;56
London_0_512;(278, 316);(191, 389);113.56936206565572;48248;48248.0;16;24;39
London_0_512;(222, 327);(266, 429);111.08555261599052;39999;39999.8;23;31;53
London_0_512;(233, 18);(192, 266);539.4995148735165;679655;679655.8;604;647;1231
London_0_512;(331, 464);(121, 361);233.8995510897787;51799;51799.5;23;29;51
London_0_512;(122, 496);(205, 312);201.8539075668341;77040;77040.4;32;43;74
London_0_512;(313, 446);(234, 158);300.06127305261424;168438;168438.1;48;64;111
London_0_512;(201, 306);(231, 452);149.05032707109368;48446;48446.0;28;34;61
London_0_512;(6, 279);(15, 267);15.0;24047;24047.4;3;5;7
London_0_512;(465, 175);(108, 356);412.277866694942;178244;178244.8;76;99;174
London_0_512;(235, 452);(399, 350);193.13207915827965;56260;56260.0;14;20;33
London_0_512;(76, 324);(328, 236);275.72587356922156;198305;198305.6;65;83;147
London_0_512;(338, 343);(502, 124);330.4785282139441;343669;343669.2;197;242;438
London_0_512;(277, 398);(352, 329);101.91172650877817;40018;40018.6;4;9;12
London_0_512;(261, 166);(249, 23);434.8439549516925;3164213;3164213.1;2703;2907;5509
London_0_512;(359, 337);(118, 366);242.7385424690525;18538;18538.5;3;8;10
London_0_512;(9, 335);(21, 378);44.64302857109943;28697;28697.5;11;15;25
London_0_512;(459, 260);(322, 446);277.5778033683805;183198;183198.7;151;181;328
London_0_512;(107, 217);(411, 376);352.99023563510997;230422;230422.1;68;90;157
London_0_512;(256, 207);(247, 257);57.38409570628792;91690;91690.2;28;35;62
London_0_512;(480, 322);(364, 350);141.31722130123836;83266;83266.3;23;39;58
London_0_512;(247, 263);(195, 124);148.4082207965583;58023;58023.6;32;41;72
London_0_512;(349, 55);(10, 300);512.3580628904256;273531;273531.8;189;206;394
London_0_512;(176, 269);(154, 5);307.505946859005;770368;770368.7;573;628;1180
