exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
478;True;AnyaSearch;194944;194944.8;437;679;1011;(110,60);(9,177);188.7106781;166.43232203931896;8room_004.map
479;True;AnyaSearch;278796;278796.6;657;1013;1438;(244,419);(385,374);189.63961029;168.9693707976624;8room_004.map
480;True;AnyaSearch;341649;341649.5;769;1204;1700;(108,162);(19,57);189.05382385;168.6275169848268;8room_004.map
481;True;AnyaSearch;291999;291999.2;682;1044;1498;(27,213);(193,221);195.49747467;179.50535991186436;8room_004.map
482;True;AnyaSearch;208961;208961.4;451;714;1048;(139,177);(78,33);192.74011536;171.94358532655426;8room_004.map
483;True;AnyaSearch;442782;442782.5;941;1526;2102;(129,169);(121,331);195.63961029;178.7836295809363;8room_004.map
484;True;AnyaSearch;125754;125754.8;292;452;681;(186,111);(62,183);193.53910522;170.6061747500572;8room_004.map
485;True;AnyaSearch;466985;466985.0;1021;1505;2142;(239,502);(379,453);193.0243866;174.601557078054;8room_004.map
486;True;AnyaSearch;397967;397967.7;914;1467;2023;(101,187);(133,36);193.7106781;173.34670623531596;8room_004.map
487;True;AnyaSearch;243062;243062.2;537;801;1214;(482,462);(324,460);193.74011536;178.10953335163953;8room_004.map
488;True;AnyaSearch;242392;242392.4;561;879;1288;(216,503);(283,367);194.3969696;170.10965390751852;8room_004.map
489;True;AnyaSearch;276323;276323.3;683;1042;1513;(110,116);(237,193);195.19595947;174.40020531920058;8room_004.map
490;True;AnyaSearch;209116;209116.5;403;636;941;(401,438);(397,276);193.29646454;176.34151552656252;8room_004.map
491;True;AnyaSearch;346740;346740.3;762;1250;1774;(218,293);(213,132);197.53910522;178.96637458713585;8room_004.map
492;True;AnyaSearch;312887;312887.3;726;1119;1594;(180,142);(303,247);199.43860016;177.2260558533497;8room_004.map
493;True;AnyaSearch;261718;261718.3;629;986;1397;(2,3);(101,124);198.46803741;175.1541194892754;8room_004.map
494;True;AnyaSearch;335874;335874.8;839;1291;1878;(173,41);(331,25);198.56854248;181.01954829056362;8room_004.map
495;True;AnyaSearch;521012;521012.8;1115;1746;2407;(260,170);(268,323);197.46803741;178.53409378124815;8room_004.map
496;True;AnyaSearch;332102;332102.2;741;1196;1649;(105,361);(241,274);197.85281372;177.40521230962713;8room_004.map
497;True;AnyaSearch;731127;731127.5;1684;2643;3568;(129,115);(89,259);197.88225098;179.9248071041687;8room_004.map
498;True;AnyaSearch;342581;342581.0;735;1146;1652;(170,245);(84,375);197.19595947;175.22306776319596;8room_004.map
499;True;AnyaSearch;377250;377250.5;871;1313;1912;(498,73);(363,14);199.68124084;177.32471267022885;8room_004.map
500;True;AnyaSearch;314649;314649.7;747;1179;1663;(39,109);(177,34);199.0243866;174.89604843926847;8room_004.map
501;True;AnyaSearch;278767;278767.7;657;997;1465;(283,205);(123,179);200.26702728;181.04037386228637;8room_004.map
502;True;AnyaSearch;623957;623957.8;1400;2299;3039;(241,255);(273,405);200.46803741;180.38390384733367;8room_004.map
503;True;AnyaSearch;240503;240503.2;566;890;1300;(216,244);(356,153);201.95331879;179.98517418197773;8room_004.map
504;True;AnyaSearch;386622;386622.1;827;1290;1847;(388,458);(375,322);200.33809509;180.9055843730164;8room_004.map
505;True;AnyaSearch;406408;406408.8;893;1396;1955;(190,330);(25,356);202.78174591;183.04997195500562;8room_004.map
506;True;AnyaSearch;617870;617870.7;1397;2175;3028;(242,243);(251,94);200.61017303;181.1730406193185;8room_004.map
507;True;AnyaSearch;393790;393790.3;857;1383;1922;(175,477);(162,311);201.46803741;182.53955058962734;8room_004.map
508;True;AnyaSearch;211459;211459.4;497;781;1134;(201,372);(91,498);202.0243866;178.58204839091863;8room_004.map
509;True;AnyaSearch;349288;349288.6;838;1304;1832;(340,166);(177,173);203.88225098;183.20409929223007;8room_004.map
510;True;AnyaSearch;222563;222563.6;430;716;1034;(290,214);(285,388);200.3969696;185.2175416167041;8room_004.map
511;True;AnyaSearch;478084;478084.3;1117;1656;2425;(177,140);(29,87);206.19595947;184.89973699704413;8room_004.map
512;True;AnyaSearch;254392;254392.7;581;954;1348;(74,177);(165,36);204.7106781;182.61321043782155;8room_004.map
513;True;AnyaSearch;242438;242438.5;589;894;1314;(113,111);(279,159);205.05382385;186.12967445920492;8room_004.map
514;True;AnyaSearch;398528;398528.3;877;1386;1964;(143,294);(231,163);207.12489166;183.58291968321222;8room_004.map
515;True;AnyaSearch;319457;319457.0;715;1111;1601;(347,266);(469,380);207.92388153;183.51256984535783;8room_004.map
516;True;AnyaSearch;486348;486348.5;1047;1559;2282;(122,221);(39,344);206.12489166;182.40614911299764;8room_004.map
517;True;AnyaSearch;619682;619682.2;1337;2071;2880;(261,277);(151,398);207.95331879;186.1533050969141;8room_004.map
518;True;AnyaSearch;337524;337524.0;773;1154;1692;(342,405);(476,489);204.95331879;182.7112256055836;8room_004.map
519;True;AnyaSearch;548923;548923.5;1300;2014;2829;(428,98);(277,103);206.12489166;185.52349663194252;8room_004.map
520;True;AnyaSearch;364513;364513.1;777;1226;1763;(492,36);(436,189);205.12489166;183.25153135885654;8room_004.map
521;True;AnyaSearch;418389;418389.4;967;1541;2142;(267,310);(251,137);211.46803741;194.00169667294784;8room_004.map
522;True;AnyaSearch;501619;501619.5;1106;1691;2366;(215,450);(76,363);211.78174591;185.48955358467913;8room_004.map
523;True;AnyaSearch;238465;238465.9;588;905;1313;(255,151);(84,199);210.53910522;190.4645199116609;8room_004.map
524;True;AnyaSearch;240138;240138.1;447;698;1029;(284,481);(242,318);209.46803741;188.60074225731273;8room_004.map
525;True;AnyaSearch;219410;219410.6;510;787;1157;(252,266);(106,169);211.36753235;188.44940374046615;8room_004.map
526;True;AnyaSearch;361363;361363.8;814;1285;1813;(179,510);(71,387);208.19595947;184.74589196821344;8room_004.map
527;True;AnyaSearch;446869;446869.5;957;1545;2145;(237,305);(213,478);210.53910522;190.5315963246372;8room_004.map
528;True;AnyaSearch;365544;365544.5;776;1202;1697;(471,33);(506,197);208.53910522;187.15443455829643;8room_004.map
529;True;AnyaSearch;491847;491847.7;1127;1812;2507;(407,210);(479,62);211.3969696;189.2280244150557;8room_004.map
530;True;AnyaSearch;289274;289274.2;660;1031;1474;(231,244);(126,109);211.43860016;186.48119753814782;8room_004.map
531;True;AnyaSearch;358545;358545.5;844;1333;1855;(97,44);(227,157);215.61017303;190.7624219534771;8room_004.map
532;True;AnyaSearch;299291;299291.5;733;1121;1617;(261,367);(436,399);214.19595947;194.1667169522907;8room_004.map
533;True;AnyaSearch;390812;390812.4;833;1232;1844;(102,240);(30,382);214.61017303;189.2035510551687;8room_004.map
534;True;AnyaSearch;305098;305098.1;660;1002;1495;(331,339);(417,487);213.3969696;193.37313801766527;8room_004.map
535;True;AnyaSearch;312745;312745.3;706;1122;1601;(354,219);(215,328);215.19595947;191.12488166596074;8room_004.map
536;True;AnyaSearch;229551;229551.3;499;783;1157;(1,2);(70,163);212.7106781;191.4319915171778;8room_004.map
537;True;AnyaSearch;348844;348844.2;800;1201;1711;(455,473);(290,490);213.43860016;195.03448023779706;8room_004.map
538;True;AnyaSearch;144897;144897.3;306;494;735;(369,57);(298,228);212.36753235;191.80346831642453;8room_004.map
539;True;AnyaSearch;223252;223252.8;519;818;1204;(105,219);(263,139);212.36753235;190.19389789958194;8room_004.map
540;True;AnyaSearch;488755;488755.7;1018;1532;2184;(398,333);(386,503);215.43860016;192.82628482475778;8room_004.map
541;True;AnyaSearch;526042;526042.9;1165;1889;2575;(61,49);(36,234);219.3969696;203.2936259507116;8room_004.map
542;True;AnyaSearch;131789;131789.7;333;515;786;(285,13);(93,34);217.22539673;200.08132450777165;8room_004.map
543;True;AnyaSearch;582263;582263.4;1326;2057;2861;(187,315);(324,214);216.12489166;194.48574273051517;8room_004.map
544;True;AnyaSearch;289523;289523.1;608;982;1438;(393,89);(354,259);216.78174591;196.43299664701055;8room_004.map
545;True;AnyaSearch;479299;479299.7;1005;1515;2181;(476,342);(337,444);217.26702728;194.46724642298113;8room_004.map
546;True;AnyaSearch;345040;345040.2;735;1221;1689;(156,506);(189,326);217.12489166;199.6926951263037;8room_004.map
547;True;AnyaSearch;360137;360137.0;795;1240;1780;(338,321);(349,498);216.7106781;195.53461110813456;8room_004.map
548;True;AnyaSearch;532271;532271.6;1232;1906;2676;(313,346);(143,351);218.88225098;198.1168145198852;8room_004.map
549;True;AnyaSearch;384907;384907.9;890;1328;1917;(388,426);(231,492);218.43860016;193.4171180479978;8room_004.map
550;True;AnyaSearch;214862;214862.2;458;722;1102;(143,417);(115,234);216.49747467;198.3720204189702;8room_004.map
551;True;AnyaSearch;329096;329096.3;728;1176;1636;(409,95);(501,252);220.58073578;196.203463191864;8room_004.map
552;True;AnyaSearch;671213;671213.2;1477;2357;3211;(287,21);(321,179);220.0243866;195.33669833725082;8room_004.map
553;True;AnyaSearch;328598;328598.0;698;1119;1578;(284,346);(246,161);223.0243866;202.16314535748347;8room_004.map
554;True;AnyaSearch;181090;181090.8;443;710;1034;(293,315);(135,217);220.85281372;194.455908589008;8room_004.map
555;True;AnyaSearch;680907;680907.8;1633;2418;3408;(255,473);(409,448);223.26702728;199.33445043746892;8room_004.map
556;True;AnyaSearch;236515;236515.9;554;854;1250;(502,134);(313,98);221.95331879;203.33213637702377;8room_004.map
557;True;AnyaSearch;172950;172950.4;401;645;950;(19,338);(36,156);220.29646454;202.4400146407195;8room_004.map
558;True;AnyaSearch;485280;485280.8;1138;1760;2460;(89,423);(272,417);222.78174591;204.76077568322611;8room_004.map
559;True;AnyaSearch;352670;352670.7;820;1317;1811;(365,356);(198,419);220.61017303;198.28202797028644;8room_004.map
560;True;AnyaSearch;815695;815695.4;1895;2856;3929;(173,450);(324,505);223.43860016;202.16086992252167;8room_004.map
561;True;AnyaSearch;942142;942142.2;2067;3154;4350;(269,62);(238,227);226.75230865;205.784673093253;8room_004.map
562;True;AnyaSearch;524038;524038.6;1178;1851;2573;(127,250);(189,102);226.85281372;203.70911994421047;8room_004.map
563;True;AnyaSearch;430636;430636.5;998;1598;2220;(167,434);(292,307);226.0243866;199.49135124210213;8room_004.map
564;True;AnyaSearch;380360;380360.3;790;1276;1789;(278,357);(322,183);225.19595947;201.8262260754873;8room_004.map
565;True;AnyaSearch;506534;506534.8;1098;1721;2438;(434,431);(479,260);224.95331879;203.39046954564344;8room_004.map
566;True;AnyaSearch;327695;327695.7;660;1072;1530;(211,447);(203,257);224.12489166;204.25280084363467;8room_004.map
567;True;AnyaSearch;377583;377583.4;870;1303;1906;(23,372);(159,260);225.33809509;199.24226524934733;8room_004.map
568;True;AnyaSearch;634367;634367.8;1405;2199;3021;(115,327);(225,465);224.61017303;199.67551512831616;8room_004.map
569;True;AnyaSearch;205832;205832.7;470;698;1053;(4,311);(174,329);224.61017303;198.96516684246438;8room_004.map
570;True;AnyaSearch;327023;327023.1;778;1209;1739;(235,2);(410,74);225.7106781;203.55229134438835;8room_004.map
571;True;AnyaSearch;471374;471374.0;1087;1631;2376;(187,362);(100,203);228.95331879;205.34093772523977;8room_004.map
572;True;AnyaSearch;257443;257443.5;590;916;1347;(197,123);(357,18);230.68124084;205.06188707180902;8room_004.map
