exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1059;True;AnyaSearch;1177558;1177558.2;2198;2376;4492;(331,200);(228,2);421.01428528;398.6403780371936;London_0_512.map
1060;True;AnyaSearch;377802;377802.6;363;427;784;(245,343);(12,109);420.13708496;398.486337136695;London_0_512.map
1061;True;AnyaSearch;741222;741222.9;1033;1143;2139;(167,13);(328,103);425.58282776;405.8932462590915;London_0_512.map
1062;True;AnyaSearch;112080;112080.5;95;119;213;(199,120);(345,486);426.47518005;394.1046086750738;London_0_512.map
1063;True;AnyaSearch;118036;118036.7;105;128;232;(131,341);(481,197);424.55844116;402.27267538374497;London_0_512.map
1064;True;AnyaSearch;177595;177595.6;190;221;410;(338,444);(374,50);426.30865784;413.7268388978927;London_0_512.map
1065;True;AnyaSearch;145919;145919.4;117;142;257;(82,244);(337,499);427.67113952;400.9842013701478;London_0_512.map
1066;True;AnyaSearch;266974;266974.7;161;215;369;(281,487);(162,153);427.00714264;398.56272511704213;London_0_512.map
1067;True;AnyaSearch;302845;302845.8;346;418;735;(151,278);(489,96);424.70057678;397.01169792824015;London_0_512.map
1068;True;AnyaSearch;549207;549207.8;622;693;1298;(208,393);(60,172);426.90663757;398.46447791965767;London_0_512.map
1069;True;AnyaSearch;202829;202829.9;246;298;531;(491,235);(153,349);424.30865784;402.9021652113407;London_0_512.map
1070;True;AnyaSearch;177864;177864.8;180;219;398;(244,478);(431,188);427.63455963;395.59230365978;London_0_512.map
1071;True;AnyaSearch;73372;73372.8;22;40;61;(461,363);(55,398);428.78174591;413.2612855338723;London_0_512.map
1072;True;AnyaSearch;50790;50790.7;51;61;111;(114,482);(503,510);430.6984848;425.0187962613223;London_0_512.map
1073;True;AnyaSearch;214736;214736.0;206;249;454;(362,417);(455,52);428.33304443;410.4555787421533;London_0_512.map
1074;True;AnyaSearch;354496;354496.1;246;301;539;(10,301);(376,219);428.09040375;396.94904491698264;London_0_512.map
1075;True;AnyaSearch;126403;126403.8;112;148;259;(198,415);(501,217);428.78888855;397.56317487026115;London_0_512.map
1076;True;AnyaSearch;55330;55330.8;38;48;85;(436,486);(74,321);431.51681061;398.9847315864586;London_0_512.map
1077;True;AnyaSearch;312051;312051.4;198;220;417;(336,65);(349,411);428.96551208;410.8411581257353;London_0_512.map
1078;True;AnyaSearch;196535;196535.3;360;383;742;(2,114);(324,207);429.60007171;399.16797826555836;London_0_512.map
1079;True;AnyaSearch;72283;72283.0;50;68;114;(471,306);(127,455);431.75945129;398.3792576793669;London_0_512.map
1080;True;AnyaSearch;414611;414611.3;473;538;996;(459,72);(342,433);430.59292908;415.69496865553094;London_0_512.map
1081;True;AnyaSearch;186792;186792.7;186;227;408;(446,236);(98,345);435.35743103;411.68445963228476;London_0_512.map
1082;True;AnyaSearch;35274;35274.7;20;30;49;(384,446);(6,311);433.91883087;401.3838561775996;London_0_512.map
1083;True;AnyaSearch;175892;175892.6;154;196;349;(126,403);(419,111);432.00923462;423.27247870322657;London_0_512.map
1084;True;AnyaSearch;290135;290135.0;301;345;629;(493,183);(327,504);434.119841;404.3112132942017;London_0_512.map
