exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
Experiment #2715;False;AnyaSearch;24287.9;24287.9;2;2;3;(709,71);(95,40);1088.74;-1;AcrosstheCape.map
Experiment #2716;False;AnyaSearch;31995.0;31995.0;10;10;19;(735,83);(95,339);1090.03;-1;AcrosstheCape.map
Experiment #2717;False;AnyaSearch;21862.0;21862.0;2;2;3;(73,7);(727,141);1089.4;-1;AcrosstheCape.map
Experiment #2718;False;AnyaSearch;36611.8;36611.8;3;3;5;(727,63);(126,359);1088.69;-1;AcrosstheCape.map
Experiment #2719;False;AnyaSearch;49714.4;49714.4;24;24;47;(48,693);(728,44);1090.08;-1;AcrosstheCape.map
Experiment #2720;False;AnyaSearch;106814.9;106814.9;2;2;3;(767,271);(10,54);1091.69;-1;AcrosstheCape.map
Experiment #2721;False;AnyaSearch;24492.9;24492.9;4;4;7;(65,677);(606,316);1093.64;-1;AcrosstheCape.map
Experiment #2722;False;AnyaSearch;24834.7;24834.7;15;15;29;(648,279);(138,716);1095.56;-1;AcrosstheCape.map
Experiment #2723;False;AnyaSearch;100540.8;100540.8;51;51;101;(95,47);(692,53);1092.7;-1;AcrosstheCape.map
Experiment #2724;False;AnyaSearch;14776.4;14776.4;12;12;23;(38,651);(735,36);1094.68;-1;AcrosstheCape.map
Experiment #2725;False;AnyaSearch;36013.2;36013.2;7;7;13;(713,86);(20,730);1092.81;-1;AcrosstheCape.map
Experiment #2726;False;AnyaSearch;60306.0;60306.0;23;23;45;(754,669);(10,72);1092.33;-1;AcrosstheCape.map
Experiment #2727;False;AnyaSearch;25100.8;25100.8;19;19;37;(24,40);(637,230);1095.13;-1;AcrosstheCape.map
Experiment #2728;False;AnyaSearch;26881.5;26881.5;5;5;9;(688,697);(67,346);1092.53;-1;AcrosstheCape.map
Experiment #2729;False;AnyaSearch;90198.0;90198.0;78;85;155;(37,72);(720,66);1093.25;-1;AcrosstheCape.map
Experiment #2730;False;AnyaSearch;11660.8;11660.8;2;2;3;(125,763);(722,99);1094.38;-1;AcrosstheCape.map
Experiment #2731;False;AnyaSearch;177994.4;177994.4;64;65;127;(764,136);(14,721);1098.43;-1;AcrosstheCape.map
Experiment #2732;False;AnyaSearch;25681.6;25681.6;3;3;5;(723,713);(64,73);1099.33;-1;AcrosstheCape.map
Experiment #2733;False;AnyaSearch;20753.6;20753.6;2;2;3;(719,671);(109,42);1096.92;-1;AcrosstheCape.map
Experiment #2734;False;AnyaSearch;16161.8;16161.8;6;6;11;(646,341);(12,614);1099.61;-1;AcrosstheCape.map
Experiment #2735;False;AnyaSearch;42727.1;42727.1;20;20;39;(92,51);(707,52);1097.16;-1;AcrosstheCape.map
Experiment #2736;False;AnyaSearch;46483.1;46483.1;24;24;47;(34,691);(643,284);1099.69;-1;AcrosstheCape.map
Experiment #2737;False;AnyaSearch;18743.3;18743.3;17;17;33;(718,631);(59,32);1098.94;-1;AcrosstheCape.map
Experiment #2738;False;AnyaSearch;24801.3;24801.3;19;19;37;(711,329);(161,714);1099.51;-1;AcrosstheCape.map
Experiment #2739;False;AnyaSearch;33021.0;33021.0;4;4;7;(672,34);(126,366);1099.56;-1;AcrosstheCape.map
Experiment #2740;False;AnyaSearch;20975.2;20975.2;6;6;11;(737,76);(96,754);1097.9;-1;AcrosstheCape.map
Experiment #2741;False;AnyaSearch;16250.6;16250.6;5;5;9;(2,703);(687,65);1102.24;-1;AcrosstheCape.map
Experiment #2742;False;AnyaSearch;8138.6;8138.6;2;2;3;(646,234);(71,2);1103.0;-1;AcrosstheCape.map
Experiment #2743;False;AnyaSearch;21962.1;21962.1;12;12;23;(14,717);(700,65);1101.43;-1;AcrosstheCape.map
Experiment #2744;False;AnyaSearch;14166.1;14166.1;1;1;1;(766,684);(153,318);1100.62;-1;AcrosstheCape.map
Experiment #2745;False;AnyaSearch;4016.9;2008.7;3;3;5;(30,617);(710,312);1102.04;-1;AcrosstheCape.map
Experiment #2746;False;AnyaSearch;25077.2;25077.2;4;4;7;(73,656);(684,287);1100.51;-1;AcrosstheCape.map
Experiment #2747;False;AnyaSearch;30300.6;30300.6;8;8;15;(701,679);(14,69);1102.6;-1;AcrosstheCape.map
Experiment #2748;False;AnyaSearch;78686.3;78686.3;30;30;59;(96,64);(744,676);1100.75;-1;AcrosstheCape.map
Experiment #2749;False;AnyaSearch;39086.9;39086.9;3;3;5;(728,57);(83,332);1103.48;-1;AcrosstheCape.map
Experiment #2750;False;AnyaSearch;21396.0;21396.0;2;2;3;(739,18);(142,324);1100.48;-1;AcrosstheCape.map
Experiment #2751;False;AnyaSearch;113001.7;113001.7;26;27;51;(8,113);(728,24);1106.65;-1;AcrosstheCape.map
Experiment #2752;False;AnyaSearch;16124.7;16124.7;3;3;5;(46,740);(766,733);1106.23;-1;AcrosstheCape.map
Experiment #2753;False;AnyaSearch;48113.9;48113.9;8;8;15;(27,120);(759,714);1105.73;-1;AcrosstheCape.map
Experiment #2754;False;AnyaSearch;32928.6;32928.6;18;18;35;(59,111);(762,688);1105.76;-1;AcrosstheCape.map
Experiment #2755;False;AnyaSearch;29974.4;29974.4;5;5;9;(689,702);(57,30);1106.67;-1;AcrosstheCape.map
Experiment #2756;False;AnyaSearch;15184.7;15184.7;3;3;5;(1,50);(760,171);1107.93;-1;AcrosstheCape.map
Experiment #2757;False;AnyaSearch;17589.2;17589.2;12;12;23;(134,349);(732,736);1106.84;-1;AcrosstheCape.map
Experiment #2758;False;AnyaSearch;30865.5;30865.5;3;3;5;(714,741);(8,100);1106.33;-1;AcrosstheCape.map
Experiment #2759;False;AnyaSearch;40689.6;40689.6;20;20;39;(91,34);(632,729);1106.75;-1;AcrosstheCape.map
Experiment #2760;False;AnyaSearch;21016.1;21016.1;13;13;25;(6,718);(706,72);1105.33;-1;AcrosstheCape.map
