exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1872;True;AnyaSearch;3190872;3190872.8;3376;4894;7129;(15,493);(396,13);751.38181762;688.6469316022568;16room_004.map
1873;True;AnyaSearch;3325591;3325591.6;3493;5045;7365;(44,467);(487,53);749.76659393;685.5933021346654;16room_004.map
1874;True;AnyaSearch;2611063;2611063.4;2862;4105;5988;(508,125);(2,491);750.62445831;684.3183165928366;16room_004.map
1875;True;AnyaSearch;3771495;3771495.5;3964;5690;8254;(37,500);(452,66);751.28131256;686.3435581908927;16room_004.map
1876;True;AnyaSearch;3234483;3234483.6;3444;4994;7271;(15,471);(404,3);749.03867187;686.5990720549681;16room_004.map
1877;True;AnyaSearch;2695826;2695826.4;2798;4117;5949;(475,487);(50,20);751.87929229;686.6475405255055;16room_004.map
1878;True;AnyaSearch;3295298;3295298.3;3424;4972;7221;(120,499);(496,2);749.239682;684.0564666827455;16room_004.map
1879;True;AnyaSearch;2560729;2560729.3;2677;3846;5684;(3,484);(449,52);749.59502105;684.8744699210338;16room_004.map
1880;True;AnyaSearch;3811421;3811421.1;4076;5824;8439;(494,86);(26,461);750.35238037;683.8873949874304;16room_004.map
1881;True;AnyaSearch;2320591;2320591.8;2450;3580;5255;(488,510);(24,86);754.42344818;689.0748008898387;16room_004.map
1882;True;AnyaSearch;2958321;2958321.3;3115;4497;6582;(467,28);(45,462);753.35238037;688.3938514911439;16room_004.map
1883;True;AnyaSearch;2417677;2417677.4;2494;3593;5343;(11,493);(423,23);752.52395324;688.2137002656806;16room_004.map
1884;True;AnyaSearch;3514330;3514330.2;3731;5387;7779;(499,22);(33,430);754.82546844;694.4847887009181;16room_004.map
1885;True;AnyaSearch;4304558;4304558.2;4579;6629;9493;(31,427);(465,22);753.239682;693.8271609898068;16room_004.map
1886;True;AnyaSearch;3084915;3084915.0;3193;4672;6742;(440,507);(70,1);753.15137024;689.769686362689;16room_004.map
1887;True;AnyaSearch;2893846;2893846.2;3095;4489;6525;(45,420);(511,36);753.75440063;694.4261712502895;16room_004.map
1888;True;AnyaSearch;3025909;3025909.5;3047;4433;6407;(502,505);(89,38);752.90872955;689.7170767065832;16room_004.map
1889;True;AnyaSearch;2767253;2767253.1;3009;4401;6316;(8,46);(501,443);755.45288543;690.8258296872715;16room_004.map
1890;True;AnyaSearch;3926714;3926714.6;4209;6124;8748;(1,127);(498,485);753.09754638;692.540997631241;16room_004.map
1891;True;AnyaSearch;2674814;2674814.9;2745;3956;5842;(4,489);(442,33);759.2518753;695.9549778306764;16room_004.map
1892;True;AnyaSearch;3901011;3901011.0;4178;6060;8667;(410,500);(3,78);759.52395324;695.9065721665414;16room_004.map
1893;True;AnyaSearch;1943316;1943316.5;2016;2957;4395;(420,501);(3,15);758.05086517;693.4165168878093;16room_004.map
1894;True;AnyaSearch;2578540;2578540.2;2745;3999;5845;(501,1);(10,394);759.31074981;694.6473968877024;16room_004.map
