exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1687;True;AnyaSearch;9817515;9817515.3;20651;54287;58575;(66,8);(459,503);673.01637725;633.5665717638028;random512-10-1.map
1688;True;AnyaSearch;5834441;5834441.9;12260;32112;33763;(3,469);(503,82);674.94530944;633.8141160982226;random512-10-1.map
1689;True;AnyaSearch;5629482;5629482.0;11748;30866;33138;(497,481);(3,84);674.84480438;634.9250480356706;random512-10-1.map
1690;True;AnyaSearch;7379609;7379609.8;15346;39726;42613;(508,8);(36,442);674.61435699;642.5054180043854;random512-10-1.map
1691;True;AnyaSearch;8177062;8177062.7;16971;44358;46925;(507,484);(21,72);676.57272644;638.6293602719497;random512-10-1.map
1692;True;AnyaSearch;9627111;9627111.3;20180;52519;55593;(36,501);(484,47);677.05800781;639.508291303033;random512-10-1.map
1693;True;AnyaSearch;12878698;12878698.9;26600;69332;70345;(17,61);(500,476);677.15851287;638.7746190840008;random512-10-1.map
1694;True;AnyaSearch;7106022;7106022.8;14772;38385;41577;(30,487);(488,43);676.47222137;639.3670562502516;random512-10-1.map
1695;True;AnyaSearch;14693433;14693433.2;30125;78300;79684;(69,465);(509,5);676.81536712;638.9290018623884;random512-10-1.map
1696;True;AnyaSearch;8762988;8762988.8;17967;46827;50798;(54,501);(449,5);676.01637725;635.7360641152519;random512-10-1.map
1697;True;AnyaSearch;10332132;10332132.4;21783;56933;58580;(1,511);(504,127);677.2884552;634.8805722021037;random512-10-1.map
1698;True;AnyaSearch;7745373;7745373.5;16163;42639;44984;(502,442);(23,14);678.54328918;643.8318497005475;random512-10-1.map
1699;True;AnyaSearch;7386290;7386290.1;15490;40802;42783;(510,453);(7,69);676.11688232;634.5818639415102;random512-10-1.map
1700;True;AnyaSearch;7784797;7784797.2;15903;41713;45282;(474,508);(71,13);676.57272644;639.3815885832428;random512-10-1.map
1701;True;AnyaSearch;7671240;7671240.4;15780;41577;44710;(511,509);(73,34);683.95750274;647.285190355158;random512-10-1.map
1702;True;AnyaSearch;9561765;9561765.7;20457;53283;56385;(32,507);(491,61);680.64379425;641.6508071625308;random512-10-1.map
1703;True;AnyaSearch;7710255;7710255.5;16121;42277;44733;(0,1);(477,430);681.64379425;642.9772467023348;random512-10-1.map
1704;True;AnyaSearch;9139730;9139730.3;18992;49552;52439;(24,58);(505,483);680.47222137;643.460972833239;random512-10-1.map
1705;True;AnyaSearch;9991441;9991441.2;20564;53624;56006;(503,475);(13,64);680.15851287;641.1818123772689;random512-10-1.map
1706;True;AnyaSearch;6869670;6869670.7;14554;37621;40695;(14,72);(487,506);681.47222137;643.2233122979134;random512-10-1.map
1707;True;AnyaSearch;7854392;7854392.7;16385;42694;46425;(69,507);(465,3);682.08744506;642.4614768925518;random512-10-1.map
1708;True;AnyaSearch;13524706;13524706.4;28199;73404;76059;(51,506);(474,25);683.15851287;642.6125270259361;random512-10-1.map
1709;True;AnyaSearch;11959325;11959325.9;23958;62154;65792;(459,24);(30,502);682.64379425;644.2951977623552;random512-10-1.map
1710;True;AnyaSearch;5276473;5276473.5;10716;28289;30840;(13,450);(507,37);681.47222137;644.8434054254628;random512-10-1.map
1711;True;AnyaSearch;9849913;9849913.8;20410;52774;56542;(469,20);(41,498);684.22958068;643.4370712689474;random512-10-1.map
1712;True;AnyaSearch;7292083;7292083.5;14914;38836;41494;(501,68);(26,505);685.30064849;646.6760830629286;random512-10-1.map
1713;True;AnyaSearch;13294737;13294737.9;27119;70423;74033;(448,22);(26,508);684.22958068;645.5283113646718;random512-10-1.map
1714;True;AnyaSearch;7652192;7652192.8;16135;42120;45639;(19,501);(458,27);685.12907562;647.5161576943425;random512-10-1.map
1715;True;AnyaSearch;11806200;11806200.6;24433;63178;66873;(491,12);(66,495);685.40115356;645.0571043266884;random512-10-1.map
1716;True;AnyaSearch;6158645;6158645.4;12590;32891;36304;(39,65);(510,511);686.78592987;649.8814979220616;random512-10-1.map
1717;True;AnyaSearch;8436778;8436778.0;17636;45591;49907;(493,7);(75,497);686.57272644;645.7370345646631;random512-10-1.map
1718;True;AnyaSearch;7930722;7930722.5;16419;42420;46155;(5,22);(438,499);684.47222137;645.7702019447329;random512-10-1.map
1719;True;AnyaSearch;5238062;5238062.1;10916;28894;31763;(511,488);(58,29);684.12907562;646.4118008118451;random512-10-1.map
1720;True;AnyaSearch;5213959;5213959.4;10974;29165;32063;(495,473);(44,12);684.71486206;646.5478165343023;random512-10-1.map
1721;True;AnyaSearch;5524324;5524324.9;11352;29579;32335;(489,30);(3,467);688.09963836;654.6224879360916;random512-10-1.map
1722;True;AnyaSearch;7457420;7457420.9;15581;40665;45018;(32,510);(434,1);689.57272644;649.8336107078235;random512-10-1.map
1723;True;AnyaSearch;10046874;10046874.0;20780;54682;57770;(490,494);(56,8);689.20014343;652.8407385676915;random512-10-1.map
1724;True;AnyaSearch;8806255;8806255.1;18501;48454;51298;(473,455);(2,10);688.12907562;649.7590081654063;random512-10-1.map
1725;True;AnyaSearch;6254596;6254596.9;12827;33529;36084;(503,55);(1,468);688.30064849;651.5893115962148;random512-10-1.map
1726;True;AnyaSearch;9850364;9850364.0;20614;54106;56918;(500,488);(48,19);688.44278411;652.8217122435891;random512-10-1.map
1727;True;AnyaSearch;6099737;6099737.3;12683;33351;36686;(15,2);(471,467);689.27121124;653.2527026133615;random512-10-1.map
