exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1260;True;AnyaSearch;15434941;15434941.5;22314;51875;54284;(427,483);(407,18);501.06601715;470.66975799771046;random512-20-8.map
1261;True;AnyaSearch;18788345;18788345.1;27605;65445;66392;(142,33);(187,503);507.89444427;476.66633281692265;random512-20-8.map
1262;True;AnyaSearch;13110469;13110469.6;20840;48281;48557;(97,393);(437,103);504.05591583;452.9849962887497;random512-20-8.map
1263;True;AnyaSearch;13035347;13035347.0;18715;43911;46399;(253,46);(199,508);505.86500702;470.0455570565288;random512-20-8.map
1264;True;AnyaSearch;17059365;17059365.8;26424;61646;61762;(92,419);(384,75);507.71277008;457.8864861763126;random512-20-8.map
1265;True;AnyaSearch;17177566;17177566.4;24973;57428;59731;(375,466);(220,39);505.16147156;460.84963991957346;random512-20-8.map
1266;True;AnyaSearch;15553104;15553104.4;22725;53687;54852;(156,411);(360,5);506.80108185;459.72849457646663;random512-20-8.map
1267;True;AnyaSearch;12871495;12871495.8;19641;45995;43200;(495,319);(31,366);505.30865784;471.3685268168741;random512-20-8.map
1268;True;AnyaSearch;11286418;11286418.5;17144;39191;39737;(496,294);(110,59);507.35743103;457.78094931471486;random512-20-8.map
1269;True;AnyaSearch;12608252;12608252.7;19737;46067;46047;(410,249);(54,511);504.01428528;448.6407953050942;random512-20-8.map
1270;True;AnyaSearch;15707518;15707518.6;23003;53428;55913;(109,42);(19,496);506.24978332;468.238868762196;random512-20-8.map
1271;True;AnyaSearch;19177419;19177419.1;28228;66245;67764;(281,42);(364,506);510.62236633;477.01801608152016;random512-20-8.map
1272;True;AnyaSearch;14557645;14557645.8;21902;50484;52663;(248,107);(22,504);508.42849884;462.5150880792132;random512-20-8.map
1273;True;AnyaSearch;6370114;6370114.2;10170;23186;23225;(477,279);(6,242);510.89444427;476.25763746511177;random512-20-8.map
1274;True;AnyaSearch;11937909;11937909.5;17306;40594;43531;(184,33);(184,506);509.4091629;476.9920638087753;random512-20-8.map
1275;True;AnyaSearch;10958730;10958730.9;16668;39086;41421;(290,21);(109,442);508.17366485;462.5363058476256;random512-20-8.map
1276;True;AnyaSearch;12188584;12188584.6;19475;45911;43743;(483,267);(55,423);508.09040375;461.6261604055394;random512-20-8.map
1277;True;AnyaSearch;7668007;7668007.2;10206;23923;26162;(110,506);(197,48);508.27922058;469.73612203704664;random512-20-8.map
1278;True;AnyaSearch;19411836;19411836.9;27451;64213;64757;(470,21);(493,487);508.82337646;471.5496776243807;random512-20-8.map
1279;True;AnyaSearch;13093921;13093921.7;19254;45290;47348;(258,429);(419,2);508.1320343;461.3332417262112;random512-20-8.map
1280;True;AnyaSearch;15790370;15790370.7;22992;53977;56139;(349,45);(288,504);508.20815277;470.4292506987661;random512-20-8.map
