exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
6563;True;AnyaSearch;3416667;3416667.0;10068;10125;20192;(506,307);(347,207);2625.0;1976.3756555254708;maze512-1-0.map
6564;True;AnyaSearch;10733735;10733735.6;31114;31139;62252;(296,309);(181,35);2625.0;1992.0492128181982;maze512-1-0.map
6565;True;AnyaSearch;6871786;6871786.0;19657;19714;39370;(45,505);(457,417);2624.0;2002.1305458333086;maze512-1-0.map
6566;True;AnyaSearch;4363302;4363302.4;12619;12679;25297;(330,97);(422,371);2626.0;1979.6152053834626;maze512-1-0.map
6567;True;AnyaSearch;10585382;10585382.3;30204;30228;60431;(150,333);(387,99);2627.0;1974.1649689269775;maze512-1-0.map
6568;True;AnyaSearch;4781876;4781876.5;13707;13759;27465;(487,492);(65,456);2624.0;1997.6436084955033;maze512-1-0.map
6569;True;AnyaSearch;8965158;8965158.0;25648;25682;51329;(414,293);(132,487);2626.0;2001.7100581377144;maze512-1-0.map
6570;True;AnyaSearch;2042991;2042991.2;6140;6169;12308;(22,149);(266,257);2624.0;1980.5832038196347;maze512-1-0.map
6571;True;AnyaSearch;8603313;8603313.8;24655;24709;49363;(433,210);(291,61);2631.0;1973.8212999453915;maze512-1-0.map
6572;True;AnyaSearch;1464939;1464939.1;4507;4524;9030;(216,41);(204,239);2630.0;1992.3967879724012;maze512-1-0.map
6573;True;AnyaSearch;7178767;7178767.5;20981;21021;42001;(473,139);(445,389);2630.0;1973.5265993646829;maze512-1-0.map
6574;True;AnyaSearch;2803864;2803864.4;8209;8234;16442;(141,19);(268,69);2631.0;1996.776611443659;maze512-1-0.map
6575;True;AnyaSearch;1464861;1464861.2;4438;4456;8893;(483,37);(162,177);2629.0;1978.6905260307133;maze512-1-0.map
6576;True;AnyaSearch;2134402;2134402.3;6345;6366;12710;(74,61);(229,40);2630.0;1991.001296964264;maze512-1-0.map
6577;True;AnyaSearch;8199024;8199024.0;23942;24003;47944;(219,102);(481,258);2630.0;1992.1819328958065;maze512-1-0.map
6578;True;AnyaSearch;2643896;2643896.8;7771;7794;15564;(77,171);(311,145);2628.0;2008.8829466951522;maze512-1-0.map
6579;True;AnyaSearch;9034459;9034459.9;26154;26199;52352;(383,451);(506,143);2631.0;1984.5829614500071;maze512-1-0.map
6580;True;AnyaSearch;9504643;9504643.2;27503;27567;55069;(120,153);(15,23);2631.0;1976.471177017983;maze512-1-0.map
6581;True;AnyaSearch;9064914;9064914.3;26069;26097;52165;(59,329);(505,130);2635.0;1991.148035673013;maze512-1-0.map
6582;True;AnyaSearch;5591786;5591786.7;16322;16378;32699;(169,505);(504,423);2633.0;1999.303282897488;maze512-1-0.map
6583;True;AnyaSearch;6691383;6691383.6;19579;19640;39218;(277,121);(489,293);2632.0;2006.1235334560022;maze512-1-0.map
6584;True;AnyaSearch;6147568;6147568.3;17645;17691;35335;(499,343);(261,113);2632.0;1987.001525359025;maze512-1-0.map
6585;True;AnyaSearch;7230706;7230706.9;20645;20698;41342;(213,433);(489,331);2634.0;1996.3206438138732;maze512-1-0.map
6586;True;AnyaSearch;3762220;3762220.8;11094;11149;22242;(281,20);(369,126);2634.0;1969.7875478201329;maze512-1-0.map
6587;True;AnyaSearch;7895716;7895716.9;23349;23387;46735;(38,231);(508,431);2634.0;2005.0713811778562;maze512-1-0.map
6588;True;AnyaSearch;1597580;1597580.4;4824;4852;9675;(233,61);(247,245);2634.0;1993.218957038124;maze512-1-0.map
6589;True;AnyaSearch;9111445;9111445.5;26573;26610;53182;(112,415);(246,37);2632.0;1983.3154324813158;maze512-1-0.map
6590;True;AnyaSearch;9692026;9692026.8;27867;27900;55766;(131,399);(329,121);2632.0;1987.0784340016537;maze512-1-0.map
6591;True;AnyaSearch;10634988;10634988.1;30375;30420;60794;(147,205);(151,66);2639.0;1992.5221854844424;maze512-1-0.map
6592;True;AnyaSearch;5555426;5555426.1;15586;15638;31223;(9,493);(317,157);2636.0;2013.7424841979432;maze512-1-0.map
6593;True;AnyaSearch;9092634;9092634.6;26272;26310;52581;(434,205);(159,50);2636.0;1983.0492178845968;maze512-1-0.map
6594;True;AnyaSearch;3395732;3395732.5;10009;10068;20076;(470,473);(128,385);2636.0;2000.396131692086;maze512-1-0.map
6595;True;AnyaSearch;6691271;6691271.2;19430;19489;38918;(415,147);(403,501);2638.0;2013.6092237841415;maze512-1-0.map
